Person_ID	Date	Company	Amount
33	4/11/2006	Health Net, Inc.	200
17	10/12/2007	Computer Sciences Corporation	1000
1	2/2/2003	Fannie Mae	1000
31	7/12/2005	TJX Companies, Inc.	2500
25	6/7/2014	Alcoa	75000
43	6/14/2016	Target Corporation	900
14	10/8/2014	AmerisourceBergen Corporation	750
11	7/28/2004	Time Warner Inc.	75000
30	3/27/2015	Kohl's Corporation	100
44	12/10/2001	The Directv Group Inc	300
16	11/9/2005	American Airlines - AMR	1500
9	9/10/2000	Verizon Communications	5400
37	2/10/2006	SYSCO Corporation	200
18	8/20/2002	SYSCO Corporation	9000
33	11/27/2010	GMAC	1000
32	8/7/2015	TJX Companies, Inc.	8350
42	1/9/2003	Costco Wholesale Corp.	9000
12	11/24/2003	Lowe's Companies, Inc.	1500
37	5/18/2008	Ingram Micro	500
39	2/26/2011	Dell, Inc	10000
18	2/27/2002	Nationwide Mutual Insurance Co	1200
44	8/9/2004	The PNC Financial Services Group	500
40	2/25/2016	Health Net, Inc.	100000
25	12/4/2000	PepsiCo, Inc.	8000
7	10/13/2006	Rite Aid Corporation	97650
3	1/15/2012	The Kroger Co	8350
17	12/14/2012	AT&T Corp	100
32	4/13/2012	The Boeing Company	80500
15	3/7/2000	Amazon.com Inc.	300
1	10/24/2015	Wal-Mart Stores, Inc.	900
13	3/22/2007	Costco Wholesale Corp.	200
7	12/24/2014	Johnson & Johnson	5400
30	7/16/2008	GMAC	80500
11	8/5/2010	U.S. Bancorp	300
28	3/28/2008	Liberty Mutual	100
34	3/8/2000	News Corp	80500
49	11/20/2003	Ford Motor Company	200
2	1/14/2005	Best Buy Co., Inc.	200
49	6/11/2015	MassMutual Financial Group	2500
14	12/10/2010	Lockheed Martin Corporation	750
2	9/10/2001	Express Scripts	500
21	3/26/2012	International Business Machines Corporation	1200
35	6/13/2001	The Directv Group Inc	100000
40	4/3/2006	United Services Automobile Association	2500
13	8/5/2005	Cisco Systems, Inc.	8000
31	3/14/2008	Safeway Inc.	1000
19	10/15/2004	Kimberly-Clark Corp	1500
10	10/13/2001	The PNC Financial Services Group	9000
40	4/5/2007	Macy's	300
6	10/19/2016	Pfizer Inc.	200
9	3/27/2008	Supervalu Inc	900
46	1/5/2003	Dell, Inc	80500
31	7/16/2004	Supervalu Inc	100000
33	2/13/2015	Express Scripts	2500
44	8/10/2003	Constellation Energy Group	4500
39	6/22/2003	McDonald's Corporation	4500
41	3/3/2011	International Assets Holding	97650
43	1/25/2011	Kraft Foods	100000
3	2/17/2013	American Express Company	75000
10	6/3/2004	Time Warner Inc.	300
7	10/24/2006	Morgan Stanley	4500
38	7/26/2015	Sunoco Inc	500
26	4/17/2006	Apple Computer, Inc	2500
43	3/9/2006	Manpower Inc.	2500
32	8/18/2003	TIAA-CREF	300
29	4/25/2011	Capital One Financial Corp	900
45	4/12/2009	Walgreen Company	500
30	8/5/2000	Medco Health Solutions Inc	750
3	4/26/2009	FPL Group Inc	900
14	4/15/2010	International Business Machines Corporation	75000
28	1/12/2013	Comcast Corporation	500
29	5/25/2010	Cardinal Health, Inc	1500
46	8/15/2002	Wal-Mart Stores, Inc.	4500
24	4/21/2008	General Dynamics Corporation	500
48	3/8/2015	American International Group	1000
25	5/4/2010	Tyson Foods Inc	8000
5	11/7/2003	Dell, Inc	1200
49	4/10/2016	PepsiCo, Inc.	97650
30	12/7/2013	Sears Holdings Corporation	100000
12	1/10/2010	Oracle Corporation	300
40	5/25/2010	Constellation Energy Group	100
29	11/4/2013	Lowe's Companies, Inc.	80500
23	1/17/2005	International Business Machines Corporation	5400
29	2/4/2008	American Airlines - AMR	4500
33	2/5/2007	Ford Motor Company	1500
28	3/16/2016	Amerada Hess Corporation	5400
47	1/16/2004	Walgreen Company	5400
20	1/7/2015	Whirlpool Corporation	80500
45	4/25/2011	The Directv Group Inc	8000
39	5/10/2004	ConocoPhillips	1500
27	6/2/2002	Abbott Laboratories	10000
48	12/24/2005	Liberty Mutual	300
39	12/5/2004	Apple Computer, Inc	8000
32	3/19/2006	Philip Morris International	300
21	1/12/2012	Deere & Company	8350
33	8/7/2002	J.C. Penney Company, Inc.	2500
40	11/18/2010	DuPont	1500
37	3/9/2008	Goldman Sachs Group	200
43	1/18/2004	Johnson & Johnson	75000
27	5/10/2000	The Dow Chemical Company	900
36	9/1/2011	Lowe's Companies, Inc.	300
23	12/16/2007	International Business Machines Corporation	100000
22	11/25/2004	PepsiCo, Inc.	4500
39	9/20/2013	3M Company	100000
44	8/5/2002	Computer Sciences Corporation	500
37	4/23/2007	Nationwide Mutual Insurance Co	900
25	7/11/2000	CVS Caremark	200
7	11/4/2012	Home Depot, Inc.	5400
25	1/5/2004	DuPont	97650
40	3/3/2016	International Assets Holding	8000
42	2/2/2013	Comcast Corporation	500
37	12/19/2003	AT&T Corp	8000
10	2/23/2003	Nike Inc.	4500
30	6/4/2010	CHS Inc	4500
26	10/8/2005	Johnson & Johnson	8350
23	2/14/2016	Kimberly-Clark Corp	300
8	11/25/2002	AT&T Corp	5400
11	9/14/2000	General Dynamics Corporation	4500
34	6/18/2000	Liberty Mutual	1200
49	6/21/2000	Cisco Systems, Inc.	1000
43	7/15/2002	The PNC Financial Services Group	75000
13	8/21/2016	Bristol-Myers Squibb Co.	1500
11	11/16/2010	Humana Inc.	200
1	6/18/2005	3M Company	200
10	4/27/2004	The Northwestern Mutual Life Insurance Company	5400
9	4/27/2001	Lockheed Martin Corporation	8350
43	2/8/2013	Rite Aid Corporation	900
20	10/19/2003	FedEx Corporation	2500
15	5/4/2015	International Assets Holding	9000
8	7/16/2015	Philip Morris International	75000
21	7/19/2003	Valero Energy Corp	900
34	3/4/2016	Caterpillar Inc.	200
9	7/7/2014	UAL Corporation(United Airlines)	750
48	2/5/2012	Goldman Sachs Group	500
30	5/6/2012	Best Buy Co., Inc.	100
43	10/7/2010	McKesson Corporation	750
37	5/12/2015	Amerada Hess Corporation	2500
44	5/5/2001	Prudential Financial, Inc	5400
21	4/18/2012	The Boeing Company	97650
48	3/19/2001	International Paper Company	9000
20	9/11/2000	Walgreen Company	4500
39	6/20/2011	Sunoco Inc	80500
15	8/8/2016	Apple Computer, Inc	200
37	6/28/2000	Computer Sciences Corporation	97650
40	5/26/2010	Constellation Energy Group	80500
29	11/24/2000	Enterprise GP Holdings	500
23	6/1/2006	CHS Inc	97650
29	5/15/2009	Murphy Oil Corp	8000
6	6/3/2007	Best Buy Co., Inc.	8350
18	7/23/2013	TIAA-CREF	4500
1	6/21/2016	Medco Health Solutions Inc	300
44	5/18/2008	Sears Holdings Corporation	8350
27	9/21/2015	Lockheed Martin Corporation	8000
49	9/26/2003	Manpower Inc.	8350
49	7/4/2014	MetLife, Inc.	100000
6	2/12/2003	Intel Corporation	750
32	4/6/2013	Kohl's Corporation	100
5	1/25/2008	McDonald's Corporation	4500
8	8/13/2002	J.C. Penney Company, Inc.	900
2	7/10/2001	Bank of America Corporation	900
47	4/8/2005	Exelon Corporation	80500
40	7/28/2009	Southern Company	1000
19	1/22/2004	The Directv Group Inc	1000
40	10/2/2000	Publix Super Markets	1500
36	7/23/2010	AFLAC Incorporated	5400
24	12/19/2002	HCA Inc.	200
43	8/7/2010	Walgreen Company	8350
10	6/9/2016	GMAC	10000
39	10/9/2009	Travelers Cos	10000
39	10/9/2016	Abbott Laboratories	500
28	1/16/2007	Emerson Electric Co	900
7	2/1/2013	Dell, Inc	100
28	11/17/2000	General Electric Company	500
43	6/15/2011	TIAA-CREF	500
35	4/1/2002	Occidental Petroleum Corp	900
47	12/3/2006	Travelers Cos	100
41	8/27/2012	Manpower Inc.	750
37	8/17/2005	Emerson Electric Co	5400
3	2/20/2008	Kraft Foods	200
30	2/2/2013	Travelers Cos	750
33	1/6/2011	Kraft Foods	97650
37	10/14/2006	J.P. Morgan Chase & Co	100000
30	2/1/2001	ConocoPhillips	100000
2	8/10/2006	Humana Inc.	97650
33	4/1/2007	Citigroup Inc	5400
8	1/10/2016	FPL Group Inc	9000
47	1/24/2011	Plains All American Pipeline, L. P.	4500
6	10/7/2009	International Paper Company	4500
14	1/28/2012	Hewlett-Packard Company	100
22	12/10/2004	News Corp	10000
12	1/10/2012	SYSCO Corporation	1000
41	6/19/2008	Humana Inc.	1500
44	6/8/2002	McDonald's Corporation	100
45	12/7/2003	Morgan Stanley	8000
21	4/2/2000	ConocoPhillips	100000
48	6/7/2000	U.S. Bancorp	500
36	10/6/2016	TJX Companies, Inc.	100
45	3/17/2013	Bristol-Myers Squibb Co.	300
6	10/22/2005	Macy's	500
16	12/22/2010	Pfizer Inc.	900
47	11/17/2016	Oracle Corporation	2500
44	4/26/2014	General Motors Corporation	500
44	7/26/2001	GMAC	200
8	9/22/2008	Ford Motor Company	8350
31	4/23/2001	Walgreen Company	200
3	5/15/2006	International Business Machines Corporation	8350
10	11/28/2001	Express Scripts	97650
45	8/18/2011	Express Scripts	80500
7	4/2/2001	MassMutual Financial Group	1500
15	9/21/2005	Sunoco Inc	500
29	9/22/2014	Time Warner Inc.	4500
46	6/17/2002	J.P. Morgan Chase & Co	100000
21	2/14/2009	Southern Company	1200
14	2/22/2000	Microsoft Corporation	200
18	5/1/2003	United Health Group Inc	750
24	5/18/2007	United Parcel Service of America, Inc	9000
10	11/17/2009	United Parcel Service of America, Inc	10000
32	1/7/2008	3M Company	9000
46	8/5/2000	Occidental Petroleum Corp	1000
4	6/11/2009	Motorola Inc	4500
49	1/26/2009	Lockheed Martin Corporation	1500
12	11/25/2002	Amerada Hess Corporation	4500
31	10/14/2014	Target Corporation	8350
34	2/6/2016	The Northwestern Mutual Life Insurance Company	4500
49	1/5/2004	Bank of America Corporation	97650
7	4/8/2016	Altria Group Inc	9000
2	7/9/2000	Home Depot, Inc.	200
34	6/7/2002	Fluor Corporation	4500
15	2/14/2002	Capital One Financial Corp	5400
14	5/28/2000	The Kroger Co	200
23	2/24/2006	Target Corporation	300
26	7/18/2008	Bank of America Corporation	900
20	4/28/2015	The Kroger Co	8000
14	8/16/2005	HCA Inc.	80500
32	12/11/2010	Occidental Petroleum Corp	1200
40	8/24/2009	Archer-Daniels-Midland Company	500
2	10/6/2006	ChevronTexaco Corporation	80500
40	11/28/2014	Freddie Mac	10000
25	5/27/2012	General Electric Company	1500
9	11/20/2013	McKesson Corporation	500
40	2/1/2002	Humana Inc.	4500
11	10/8/2008	Cisco Systems, Inc.	200
24	11/13/2015	McKesson Corporation	8350
44	11/4/2003	Avnet, Inc.	75000
31	6/11/2002	Amerada Hess Corporation	8350
38	11/28/2010	L-3 Communications Hldgs.	9000
9	12/19/2002	Intel Corporation	97650
5	12/28/2010	Cardinal Health, Inc	2500
27	12/18/2003	Supervalu Inc	1000
7	6/1/2009	The Northwestern Mutual Life Insurance Company	1500
20	5/18/2006	Kraft Foods	100000
8	7/6/2009	Enterprise GP Holdings	2500
32	10/12/2003	General Dynamics Corporation	80500
8	11/7/2009	Valero Energy Corp	5400
45	8/27/2007	Bank of America Corporation	1500
6	8/3/2005	ConocoPhillips	1000
40	10/19/2011	Sprint	8350
40	9/8/2013	Express Scripts	300
37	7/22/2015	J.P. Morgan Chase & Co	300
12	4/3/2003	Avnet, Inc.	1200
36	6/8/2016	Express Scripts	8350
35	10/13/2012	American Express Company	100
32	9/2/2002	Goodyear Tire & Rubber	500
9	7/24/2007	Hartford Financial Services Group	8000
20	12/22/2011	Humana Inc.	5400
44	6/18/2003	Wal-Mart Stores, Inc.	9000
19	4/28/2004	Philip Morris International	900
11	7/27/2007	United Services Automobile Association	5400
32	9/2/2009	The PNC Financial Services Group	1500
46	12/25/2004	Caterpillar Inc.	900
13	11/27/2009	MassMutual Financial Group	97650
14	11/21/2014	Fluor Corporation	750
25	1/19/2011	Fannie Mae	1500
3	5/17/2011	International Business Machines Corporation	200
5	4/25/2007	Health Net, Inc.	1000
12	8/1/2012	Philip Morris International	75000
8	9/18/2006	Tesoro Petroleum Corp	8000
38	8/18/2005	Health Net, Inc.	10000
9	5/9/2002	Tech Data Corporation	1200
30	4/5/2007	Microsoft Corporation	900
18	6/3/2007	TJX Companies, Inc.	500
41	4/8/2010	Sears Holdings Corporation	8000
4	2/17/2015	Best Buy Co., Inc.	8000
30	10/15/2002	Delta Air Lines Inc	8000
43	4/26/2001	Tech Data Corporation	80500
34	5/20/2002	L-3 Communications Hldgs.	2500
45	4/3/2014	Kraft Foods	4500
30	3/2/2006	Dell, Inc	900
40	4/19/2009	The Walt Disney Company	4500
36	1/22/2006	Bank of America Corporation	8000
32	5/13/2000	Eli Lilly and Co	100
23	11/13/2008	Emerson Electric Co	5400
11	1/11/2001	State Farm Insurance	100000
30	3/4/2007	Altria Group Inc	1500
45	4/3/2005	Humana Inc.	75000
41	6/19/2004	UAL Corporation(United Airlines)	200
10	4/2/2015	Goodyear Tire & Rubber	900
37	11/19/2014	New York Life Insurance Company	900
10	6/22/2002	The Northwestern Mutual Life Insurance Company	100000
3	4/21/2002	GMAC	750
49	4/14/2015	The Northwestern Mutual Life Insurance Company	200
27	9/3/2006	TIAA-CREF	8000
39	1/25/2001	New York Life Insurance Company	8350
21	11/8/2005	Avnet, Inc.	1500
37	8/18/2016	FPL Group Inc	1200
41	4/18/2012	WellPoint Health Networks	750
20	6/20/2008	Johnson & Johnson	1500
6	5/18/2016	Honeywell International	750
16	2/3/2010	General Electric Company	100000
25	3/28/2010	DuPont	97650
32	8/3/2013	ConocoPhillips	2500
16	3/9/2003	Murphy Oil Corp	300
10	3/13/2008	FedEx Corporation	75000
44	1/26/2005	AT&T Corp	10000
20	7/2/2016	Motorola Inc	75000
8	7/24/2014	Plains All American Pipeline, L. P.	2500
26	9/22/2015	Liberty Mutual	8000
32	3/12/2015	3M Company	200
18	11/17/2003	Southern Company	2500
12	4/27/2004	Deere & Company	8000
22	9/17/2006	Time Warner Inc.	8350
25	9/13/2002	The Dow Chemical Company	200
17	10/9/2002	Bristol-Myers Squibb Co.	4500
15	7/20/2010	Staples, Inc.	900
35	12/12/2008	Supervalu Inc	97650
30	12/9/2011	L-3 Communications Hldgs.	80500
45	4/19/2003	Southern Company	100000
28	10/3/2003	Kimberly-Clark Corp	8350
14	7/7/2010	Deere & Company	100
22	1/2/2011	Nationwide Mutual Insurance Co	4500
47	8/6/2003	American Express Company	1000
45	5/7/2016	American Express Company	10000
19	4/11/2009	HCA Inc.	8350
44	7/23/2010	Hewlett-Packard Company	200
46	5/25/2010	Merck & Co Inc	100
46	3/20/2000	Tech Data Corporation	1500
33	6/9/2006	Freddie Mac	80500
46	9/22/2003	Kraft Foods	8000
42	2/9/2000	Ford Motor Company	2500
36	10/5/2014	Goodyear Tire & Rubber	100000
16	5/13/2016	Exelon Corporation	1200
36	2/23/2001	Time Warner Inc.	1000
26	3/15/2014	The Coca-Cola Company	100000
34	2/18/2003	Hartford Financial Services Group	5400
11	2/22/2012	TIAA-CREF	80500
6	12/4/2016	Time Warner Inc.	1500
37	2/13/2007	FedEx Corporation	8350
29	11/8/2006	Emerson Electric Co	97650
33	11/11/2010	Sears Holdings Corporation	80500
17	9/15/2006	Fluor Corporation	10000
4	9/5/2012	UAL Corporation(United Airlines)	75000
45	12/1/2012	Valero Energy Corp	4500
44	4/13/2007	Deere & Company	900
38	4/5/2015	Delta Air Lines Inc	8000
5	1/12/2002	Tesoro Petroleum Corp	8000
24	11/24/2007	Procter & Gamble Co	4500
34	12/3/2000	International Business Machines Corporation	750
13	10/13/2012	Express Scripts	1000
2	3/26/2008	Health Net, Inc.	100
15	10/17/2009	Google	100000
10	12/12/2015	Exxon Mobil Corporation	97650
29	8/8/2005	UAL Corporation(United Airlines)	300
42	2/3/2006	International Paper Company	300
31	1/16/2016	Enterprise GP Holdings	97650
34	7/8/2014	UAL Corporation(United Airlines)	100
2	10/9/2010	Kimberly-Clark Corp	100
46	2/16/2015	Fannie Mae	1500
41	1/28/2006	Hewlett-Packard Company	10000
11	8/5/2016	CVS Caremark	1500
24	12/22/2010	Procter & Gamble Co	9000
21	5/27/2014	U.S. Bancorp	8350
42	5/20/2015	Nike Inc.	4500
21	9/26/2015	Manpower Inc.	1500
9	10/1/2016	Humana Inc.	5400
45	3/27/2001	Exxon Mobil Corporation	80500
7	5/28/2008	MetLife, Inc.	100000
21	1/8/2010	General Dynamics Corporation	900
19	10/14/2003	Hartford Financial Services Group	5400
15	7/25/2014	Ingram Micro	97650
41	11/7/2008	FedEx Corporation	8350
30	11/14/2001	Health Net, Inc.	2500
46	6/23/2015	TJX Companies, Inc.	100
24	9/13/2000	J.P. Morgan Chase & Co	1200
35	5/3/2005	3M Company	9000
45	1/14/2014	3M Company	1200
30	5/10/2015	Lowe's Companies, Inc.	2500
49	11/17/2000	Travelers Cos	1500
7	4/20/2008	Time Warner Inc.	500
23	9/15/2015	Wal-Mart Stores, Inc.	750
21	1/1/2016	Altria Group Inc	100000
10	12/11/2006	FedEx Corporation	9000
47	3/10/2008	Nike Inc.	8350
42	9/1/2005	Publix Super Markets	500
25	6/11/2007	Bank of America Corporation	75000
11	3/18/2006	Best Buy Co., Inc.	2500
39	6/3/2000	Microsoft Corporation	1000
15	12/8/2012	State Farm Insurance	9000
18	7/19/2007	Abbott Laboratories	900
31	1/10/2014	Comcast Corporation	10000
3	4/19/2001	Goodyear Tire & Rubber	8350
7	10/17/2015	3M Company	2500
30	2/3/2006	Publix Super Markets	300
1	8/18/2013	Hartford Financial Services Group	300
41	2/13/2009	General Dynamics Corporation	500
24	12/25/2006	L-3 Communications Hldgs.	100
1	9/2/2002	Raytheon Company	9000
28	10/15/2002	Eli Lilly and Co	97650
48	11/9/2013	Northrop Grumman Corporation	200
41	2/12/2000	The PNC Financial Services Group	1500
37	5/1/2003	U.S. Bancorp	75000
26	4/15/2007	The Walt Disney Company	5400
32	11/25/2004	Cisco Systems, Inc.	100
47	6/6/2006	Cisco Systems, Inc.	500
24	1/25/2015	AmerisourceBergen Corporation	75000
